# ACTS Test Suite Generation: Tue May 17 13:07:36 CST 2022
#  '*' represents don't care value 
# Degree of interaction coverage: 2
# Number of parameters: 7
# Maximum number of values per parameter: 11
# Number of configurations: 128
bookingType,date1,origin1,destination1,date2,origin2,destination2
one_way,1,Dalian,Tokyo,0,null,null
multi_trip,1,Dalian,Beijing,1,Beijing,Tokyo
multi_trip,5,Nanjing,Dalian,5,Dalian,Nanjing
multi_trip,6,Nanjing,Dalian,6,Dalian,Nanjing
multi_trip,1,Beijing,Shanghai,1,Shanghai,Beijing
round_trip,1,Beijing,Singapore,1,Singapore,Beijing
round_trip,1,Nanjing,Beijing,8,Beijing,Nanjing
round_trip,1,Paris,Beijing,4,Beijing,Paris
multi_trip,1,Shanghai,London,1,London,Shanghai
multi_trip,2,Shanghai,London,2,London,Shanghai
multi_trip,1,Tokyo,Paris,2,Paris,Dalian
round_trip,1,Singapore,Nanjing,3,Nanjing,Singapore
round_trip,1,London,Tokyo,5,Tokyo,London
multi_trip,1,Tokyo,Singapore,6,Singapore,Paris
multi_trip,1,Singapore,Dalian,7,Dalian,Tokyo
multi_trip,1,Paris,Tokyo,9,Tokyo,Singapore
multi_trip,1,Beijing,Paris,10,Paris,London
one_way,2,London,Shanghai,0,null,null
multi_trip,2,Paris,Shanghai,3,Shanghai,Dalian
round_trip,2,Tokyo,Nanjing,4,Nanjing,Tokyo
multi_trip,2,Dalian,Singapore,5,Singapore,London
multi_trip,2,Singapore,Paris,6,Paris,Beijing
multi_trip,2,Beijing,Tokyo,7,Tokyo,Paris
multi_trip,2,Shanghai,Dalian,8,Dalian,Singapore
multi_trip,2,London,Beijing,9,Beijing,Shanghai
round_trip,2,Nanjing,Shanghai,10,Shanghai,Nanjing
one_way,3,Tokyo,London,0,null,null
multi_trip,3,Dalian,London,3,London,Beijing
multi_trip,3,Nanjing,Paris,4,Paris,Shanghai
multi_trip,3,Shanghai,Nanjing,5,Nanjing,Dalian
multi_trip,3,London,Tokyo,6,Tokyo,Singapore
multi_trip,3,Paris,Singapore,7,Singapore,Nanjing
multi_trip,3,Singapore,Shanghai,8,Shanghai,Tokyo
multi_trip,3,Beijing,Dalian,9,Dalian,London
multi_trip,3,Shanghai,Beijing,10,Beijing,Paris
one_way,4,Singapore,Beijing,0,null,null
multi_trip,4,Beijing,London,4,London,Dalian
multi_trip,4,London,Paris,5,Paris,Tokyo
multi_trip,4,Paris,Nanjing,6,Nanjing,London
multi_trip,4,Dalian,Shanghai,7,Shanghai,Singapore
multi_trip,4,Shanghai,Tokyo,8,Tokyo,Beijing
multi_trip,4,Tokyo,Singapore,9,Singapore,Shanghai
multi_trip,4,London,Dalian,10,Dalian,Paris
one_way,5,Paris,Nanjing,0,null,null
multi_trip,5,Beijing,London,6,London,Tokyo
multi_trip,5,London,Nanjing,7,Nanjing,Beijing
round_trip,5,Dalian,Singapore,8,Singapore,Dalian
multi_trip,5,Shanghai,Paris,9,Paris,Singapore
multi_trip,5,Singapore,Tokyo,10,Tokyo,Shanghai
one_way,6,Beijing,Singapore,0,null,null
multi_trip,6,Tokyo,Beijing,7,Beijing,Dalian
multi_trip,6,Dalian,Nanjing,8,Nanjing,Paris
multi_trip,6,Singapore,London,9,London,Nanjing
multi_trip,6,Paris,Singapore,10,Singapore,Tokyo
one_way,7,Nanjing,Paris,0,null,null
multi_trip,7,Paris,London,7,London,Shanghai
multi_trip,7,Tokyo,Paris,8,Paris,London
multi_trip,7,Nanjing,Shanghai,9,Shanghai,Paris
multi_trip,7,Dalian,Nanjing,10,Nanjing,Beijing
one_way,8,Shanghai,Dalian,0,null,null
multi_trip,8,Nanjing,London,8,London,Singapore
multi_trip,8,Singapore,Nanjing,9,Nanjing,Dalian
multi_trip,8,Tokyo,Dalian,10,Dalian,Beijing
one_way,9,London,Singapore,0,null,null
multi_trip,9,Singapore,Beijing,9,Beijing,London
multi_trip,9,Tokyo,London,10,London,Paris
one_way,10,London,Shanghai,0,null,null
multi_trip,10,Nanjing,Shanghai,10,Shanghai,Dalian
multi_trip,4,Tokyo,Beijing,5,Beijing,Singapore
multi_trip,5,Shanghai,Beijing,6,Beijing,London
multi_trip,7,London,Beijing,9,Beijing,Nanjing
multi_trip,8,Dalian,Beijing,9,Beijing,Tokyo
multi_trip,10,Dalian,Beijing,10,Beijing,Shanghai
multi_trip,5,Singapore,Shanghai,5,Shanghai,Paris
round_trip,6,London,Shanghai,6,Shanghai,London
multi_trip,8,Beijing,Shanghai,8,Shanghai,Nanjing
multi_trip,9,Paris,Shanghai,9,Shanghai,Dalian
multi_trip,9,Beijing,Nanjing,10,Nanjing,Shanghai
multi_trip,10,Shanghai,Nanjing,10,Nanjing,Tokyo
multi_trip,7,Beijing,Dalian,10,Dalian,Singapore
multi_trip,9,Nanjing,Dalian,9,Dalian,Beijing
multi_trip,10,Paris,Dalian,10,Dalian,Nanjing
round_trip,6,Dalian,Tokyo,6,Tokyo,Dalian
multi_trip,7,Shanghai,Tokyo,10,Tokyo,Nanjing
multi_trip,8,Nanjing,Tokyo,8,Tokyo,London
multi_trip,9,Dalian,Tokyo,9,Tokyo,Singapore
multi_trip,10,Singapore,Tokyo,10,Tokyo,Paris
multi_trip,7,Nanjing,Singapore,7,Singapore,Tokyo
multi_trip,8,London,Singapore,8,Singapore,Shanghai
multi_trip,9,Shanghai,Singapore,10,Singapore,Nanjing
multi_trip,10,Tokyo,Singapore,10,Singapore,Beijing
multi_trip,10,Beijing,London,10,London,Singapore
multi_trip,6,Shanghai,Paris,7,Paris,London
multi_trip,8,Dalian,Paris,9,Paris,Nanjing
round_trip,9,Tokyo,Paris,9,Paris,Tokyo
round_trip,10,London,Paris,10,Paris,London
round_trip,1,Paris,Beijing,2,Beijing,Paris
multi_trip,3,Tokyo,Beijing,3,Beijing,Shanghai
multi_trip,1,Singapore,Shanghai,2,Shanghai,Beijing
multi_trip,3,London,Shanghai,4,Shanghai,Singapore
multi_trip,1,London,Nanjing,1,Nanjing,Dalian
