# ACTS Test Suite Generation: Tue May 17 13:08:38 CST 2022
#  '*' represents don't care value 
# Degree of interaction coverage: 2
# Number of parameters: 7
# Maximum number of values per parameter: 11
# Number of configurations: 128
bookingType,date1,origin1,destination1,date2,origin2,destination2
one_way,1,Shanghai,Nanjing,0,null,null
one_way,2,Nanjing,Dalian,0,null,null
one_way,3,Dalian,Tokyo,0,null,null
one_way,4,Tokyo,Singapore,0,null,null
one_way,5,Singapore,London,0,null,null
one_way,6,London,Paris,0,null,null
one_way,7,Paris,Beijing,0,null,null
one_way,8,Beijing,Shanghai,0,null,null
one_way,9,Shanghai,Dalian,0,null,null
one_way,10,Nanjing,Tokyo,0,null,null
multi_trip,1,Dalian,Beijing,1,Beijing,Shanghai
multi_trip,1,Tokyo,Shanghai,2,Shanghai,Nanjing
multi_trip,2,Singapore,Nanjing,2,Nanjing,Dalian
multi_trip,1,London,Dalian,3,Dalian,Tokyo
multi_trip,2,Paris,Tokyo,3,Tokyo,Singapore
multi_trip,3,Beijing,Singapore,3,Singapore,London
multi_trip,1,Nanjing,London,4,London,Paris
multi_trip,2,Dalian,Paris,4,Paris,Beijing
multi_trip,3,Singapore,Beijing,4,Beijing,Nanjing
multi_trip,4,London,Shanghai,4,Shanghai,Dalian
multi_trip,1,Beijing,Nanjing,5,Nanjing,Singapore
multi_trip,2,Shanghai,Dalian,5,Dalian,London
multi_trip,3,London,Tokyo,5,Tokyo,Paris
multi_trip,4,Paris,Singapore,5,Singapore,Beijing
multi_trip,5,Tokyo,London,5,London,Shanghai
multi_trip,1,Singapore,Paris,6,Paris,Dalian
round_trip,2,Tokyo,Beijing,6,Beijing,Tokyo
multi_trip,3,Nanjing,Shanghai,6,Shanghai,Singapore
multi_trip,4,Dalian,Nanjing,6,Nanjing,London
round_trip,5,Paris,Dalian,6,Dalian,Paris
round_trip,6,Beijing,Tokyo,6,Tokyo,Beijing
round_trip,1,Shanghai,Singapore,7,Singapore,Shanghai
multi_trip,2,Beijing,London,7,London,Nanjing
multi_trip,3,Shanghai,Paris,7,Paris,Tokyo
multi_trip,4,Nanjing,Beijing,7,Beijing,Singapore
multi_trip,5,Dalian,Shanghai,7,Shanghai,London
multi_trip,6,Tokyo,Nanjing,7,Nanjing,Paris
multi_trip,7,Singapore,Dalian,7,Dalian,Beijing
multi_trip,1,Paris,Tokyo,8,Tokyo,London
multi_trip,2,London,Singapore,8,Singapore,Paris
multi_trip,3,Paris,London,8,London,Dalian
multi_trip,4,Beijing,Paris,8,Paris,Shanghai
multi_trip,5,Shanghai,Beijing,8,Beijing,Nanjing
multi_trip,6,Singapore,Shanghai,8,Shanghai,Tokyo
multi_trip,7,London,Nanjing,8,Nanjing,Singapore
multi_trip,8,Nanjing,Dalian,8,Dalian,Beijing
multi_trip,1,Singapore,Tokyo,9,Tokyo,Shanghai
multi_trip,2,Beijing,Shanghai,9,Shanghai,Paris
multi_trip,3,Tokyo,Nanjing,9,Nanjing,Beijing
multi_trip,4,Dalian,London,9,London,Tokyo
multi_trip,5,London,Paris,9,Paris,Singapore
round_trip,6,Nanjing,Singapore,9,Singapore,Nanjing
multi_trip,7,Shanghai,Beijing,9,Beijing,Dalian
multi_trip,8,Tokyo,Dalian,9,Dalian,London
multi_trip,9,Paris,Tokyo,9,Tokyo,Nanjing
round_trip,1,Dalian,Singapore,10,Singapore,Dalian
multi_trip,2,Singapore,London,10,London,Shanghai
multi_trip,3,London,Dalian,10,Dalian,Nanjing
multi_trip,4,Shanghai,Tokyo,10,Tokyo,Paris
multi_trip,5,Paris,Nanjing,10,Nanjing,Tokyo
multi_trip,6,Nanjing,Paris,10,Paris,London
multi_trip,7,Tokyo,Shanghai,10,Shanghai,Beijing
multi_trip,8,Dalian,Beijing,10,Beijing,Singapore
multi_trip,9,Beijing,Singapore,10,Singapore,Tokyo
multi_trip,10,Shanghai,London,10,London,Singapore
multi_trip,6,London,Beijing,6,Beijing,Shanghai
multi_trip,9,Singapore,Beijing,9,Beijing,London
round_trip,10,Paris,Beijing,10,Beijing,Paris
multi_trip,8,Paris,Shanghai,9,Shanghai,Dalian
multi_trip,9,London,Shanghai,9,Shanghai,Beijing
multi_trip,10,Dalian,Shanghai,10,Shanghai,Nanjing
round_trip,8,Shanghai,Nanjing,10,Nanjing,Shanghai
multi_trip,9,Tokyo,Nanjing,10,Nanjing,Dalian
multi_trip,10,Beijing,Nanjing,10,Nanjing,Tokyo
multi_trip,4,Tokyo,Dalian,4,Dalian,Singapore
multi_trip,6,Paris,Dalian,7,Dalian,Shanghai
multi_trip,9,Nanjing,Dalian,10,Dalian,Paris
multi_trip,10,Singapore,Dalian,10,Dalian,Beijing
multi_trip,5,Nanjing,Tokyo,7,Tokyo,Dalian
multi_trip,7,Dalian,Tokyo,8,Tokyo,London
multi_trip,8,Singapore,Tokyo,8,Tokyo,Nanjing
multi_trip,10,Beijing,Tokyo,10,Tokyo,Dalian
multi_trip,5,Shanghai,Singapore,6,Singapore,Beijing
multi_trip,7,Nanjing,Singapore,8,Singapore,Tokyo
multi_trip,8,Dalian,Singapore,9,Singapore,Paris
multi_trip,10,Tokyo,Singapore,10,Singapore,Shanghai
multi_trip,6,Shanghai,London,6,London,Nanjing
multi_trip,7,Beijing,London,9,London,Paris
round_trip,8,Tokyo,London,8,London,Tokyo
multi_trip,9,Dalian,London,9,London,Singapore
multi_trip,7,Tokyo,Paris,7,Paris,Nanjing
round_trip,8,London,Paris,9,Paris,London
multi_trip,9,Nanjing,Paris,9,Paris,Shanghai
round_trip,10,London,Paris,10,Paris,London
multi_trip,1,Paris,Beijing,2,Beijing,Tokyo
multi_trip,1,Singapore,Beijing,3,Beijing,Dalian
multi_trip,3,Nanjing,Beijing,5,Beijing,Tokyo
round_trip,1,Singapore,Shanghai,1,Shanghai,Singapore
multi_trip,1,Dalian,Shanghai,3,Shanghai,Beijing
multi_trip,4,Singapore,Shanghai,5,Shanghai,Nanjing
multi_trip,1,Beijing,Nanjing,1,Nanjing,London
multi_trip,3,Shanghai,Nanjing,3,Nanjing,Paris
multi_trip,3,Paris,Nanjing,4,Nanjing,Shanghai
round_trip,1,Beijing,Dalian,1,Dalian,Beijing
multi_trip,1,London,Dalian,2,Dalian,Singapore
multi_trip,1,Paris,Tokyo,1,Tokyo,Dalian
multi_trip,2,Beijing,Tokyo,2,Tokyo,London
multi_trip,2,Shanghai,Tokyo,4,Tokyo,London
multi_trip,1,Tokyo,Singapore,1,Singapore,Paris
multi_trip,1,Nanjing,Singapore,2,Singapore,Beijing
multi_trip,2,Beijing,Singapore,4,Singapore,Tokyo
multi_trip,1,Shanghai,London,1,London,Nanjing
multi_trip,1,Dalian,London,2,London,Shanghai
multi_trip,3,Tokyo,London,3,London,Nanjing
multi_trip,1,London,Paris,1,Paris,Tokyo
round_trip,1,Shanghai,Paris,2,Paris,Shanghai
multi_trip,1,Nanjing,Paris,3,Paris,Shanghai
round_trip,3,Dalian,Paris,5,Paris,Dalian
multi_trip,5,Beijing,London,9,London,Beijing
multi_trip,7,London,Tokyo,7,Tokyo,Shanghai
round_trip,6,Dalian,Nanjing,10,Nanjing,Dalian
multi_trip,6,Tokyo,London,6,London,Singapore
multi_trip,1,Singapore,London,2,London,Paris
multi_trip,1,Nanjing,Dalian,1,Dalian,Paris
round_trip,4,Beijing,Paris,4,Paris,Beijing
round_trip,7,Dalian,Nanjing,9,Nanjing,Dalian
round_trip,9,London,Singapore,10,Singapore,London
round_trip,1,Shanghai,London,3,London,Shanghai
